City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Conditions
316,Bontang,0.1333,117.5,75.96,93,27,6.46,ID,scattered clouds
317,Janow Lubelski,50.707,22.4104,73.22,85,100,10.98,PL,moderate rain
318,Buala,-8.145,159.5921,77.76,86,96,6.06,SB,moderate rain
319,Zheleznodorozhnyy,55.7503,38.0042,71.37,91,100,5.12,RU,overcast clouds
320,Esso,55.9333,158.7,47.46,74,98,2.71,RU,overcast clouds
321,Dalupirip,16.3258,120.7256,75.56,96,100,3.85,PH,heavy intensity rain
322,Roma,43.2128,-75.4557,66.06,91,90,5.75,US,heavy intensity rain
323,Isiro,2.7739,27.616,66.02,98,97,4.38,CD,overcast clouds
324,Bridlington,54.0831,-0.1919,61.02,73,7,14.72,GB,clear sky
325,Mtwara,-10.2667,40.1833,73.98,77,41,13.58,TZ,scattered clouds
326,Dmitriyevka,54.75,55.3333,71.15,55,95,6.51,RU,overcast clouds
327,Kokoshkino,55.5977,37.1695,70.9,94,0,2.24,RU,clear sky
328,Camacupa,-12.0167,17.4833,63.9,28,0,2.46,AO,clear sky
329,Chynadiyovo,48.4818,22.8217,74.07,68,82,4.79,UA,broken clouds
330,Fukuma,33.7667,130.4667,80.1,88,100,2.75,JP,overcast clouds
331,Mezen,65.8522,44.24,48.11,85,5,4.25,RU,clear sky
332,Aban,56.67,96.06,53.76,96,63,4.38,RU,broken clouds
333,Misratah,32.3754,15.0925,87.76,45,0,8.55,LY,clear sky
334,Taldan,53.6667,124.8,48.11,99,98,4.16,RU,overcast clouds
335,Aykhal,66.0,111.5,61.23,45,88,4.18,RU,overcast clouds
336,Zverinogolovskoye,54.4586,64.8542,68.18,72,13,7.76,RU,few clouds
337,Kristiinankaupunki,62.2743,21.376,60.89,79,96,4.61,FI,overcast clouds
338,Beringovskiy,63.05,179.3167,45.28,73,42,10.83,RU,scattered clouds
339,Souillac,-20.5167,57.5167,70.36,78,38,15.61,MU,light rain
340,Katangli,51.7102,143.2326,52.9,88,100,7.92,RU,overcast clouds
